Date,Price,Open,High,Low,Vol.,Change %
"Jun 11, 2021",3249.32,3226.98,3251.58,3226.98,1.65B,0.77%
"Jun 10, 2021",3224.64,3216.94,3235.39,3210.31,1.90B,0.26%
"Jun 09, 2021",3216.18,3245.08,3246.49,3216.18,1.96B,-0.97%
"Jun 08, 2021",3247.83,3251.83,3264.67,3242.56,1.95B,-0.13%
"Jun 07, 2021",3252.12,3244.59,3264.41,3233.4,1.73B,0.37%
"Jun 04, 2021",3240.08,3246.17,3246.19,3218.67,1.39B,-0.23%
"Jun 03, 2021",3247.43,3224.96,3258.5,3224.96,1.58B,0.72%
"Jun 02, 2021",3224.23,3224.4,3241.07,3216.1,1.50B,0.07%
"Jun 01, 2021",3221.87,3207.12,3233.17,3199.18,1.47B,0.56%
"May 31, 2021",3203.92,3192.06,3204.29,3179.87,1.12B,0.48%
"May 28, 2021",3188.73,3172.09,3198.66,3171.85,966.37M,0.73%
"May 27, 2021",3165.51,3170.84,3173.86,3142.37,1.08B,-0.09%
"May 26, 2021",3168.43,3171.91,3183.97,3160.3,1.27B,-0.09%
"May 25, 2021",3171.32,3152.93,3173.1,3148.3,612.98M,0.86%
"May 24, 2021",3144.3,3155.91,3163.27,3137.81,587.97M,-0.38%
"May 21, 2021",3156.42,3171.91,3198.01,3149.46,797.26M,-0.19%
"May 20, 2021",3162.28,3174.53,3174.53,3140.48,774.25M,-0.34%
"May 18, 2021",3173.05,3135.38,3176.4,3135.38,786.14M,1.23%
"May 17, 2021",3134.52,3163.21,3173.01,3121.32,771.31M,-0.60%
"May 14, 2021",3153.32,3131.35,3162.31,3131.35,836.40M,1.00%
"May 13, 2021",3122.11,3146.97,3161.93,3103.88,1.10B,-1.25%
"May 12, 2021",3161.66,3209.36,3212.83,3138.04,1.42B,-1.49%
"May 11, 2021",3209.43,3239.92,3239.92,3192.25,1.10B,-1.23%
"May 10, 2021",3249.3,3201.46,3255.9,3201.46,1.01B,1.63%
"May 07, 2021",3197.2,3179.63,3205.11,3179.63,989.68M,0.58%
"May 06, 2021",3178.74,3147.72,3178.74,3133.64,1.24B,1.00%
"May 04, 2021",3147.37,3131.39,3147.38,3109.78,1.28B,0.64%
"May 03, 2021",3127.2,3149.05,3174.26,3120.7,1.04B,-0.66%
"Apr 30, 2021",3147.86,3176.43,3179.43,3143.38,1.36B,-0.83%
"Apr 29, 2021",3174.07,3184.75,3200.41,3161.06,1.22B,-0.23%
"Apr 28, 2021",3181.47,3217.21,3219.69,3176.55,1.41B,-1.06%
"Apr 27, 2021",3215.42,3218.3,3223.05,3203.25,1.53B,-0.07%
"Apr 26, 2021",3217.53,3191.34,3217.53,3191.34,1.30B,0.99%
"Apr 23, 2021",3186.1,3173.47,3188.7,3146.54,2.25B,0.27%
"Apr 22, 2021",3177.52,3174.52,3196.97,3174.52,1.75B,0.18%
"Apr 21, 2021",3171.66,3214.24,3214.24,3165.49,1.77B,-1.52%
"Apr 20, 2021",3220.7,3198.31,3220.82,3195.96,1.30B,0.68%
"Apr 19, 2021",3198.84,3201.11,3214.45,3193.4,1.06B,0.01%
"Apr 16, 2021",3198.62,3194.08,3206.76,3185.67,985.28M,0.13%
"Apr 15, 2021",3194.33,3180.73,3204.48,3178.99,1.31B,0.38%
"Apr 14, 2021",3182.38,3169.95,3188.32,3162.12,1.78B,0.42%
"Apr 13, 2021",3169.08,3138.21,3173.26,3136.99,1.74B,1.07%
"Apr 12, 2021",3135.59,3134.88,3147.27,3127.91,1.05B,0.12%
"Apr 09, 2021",3131.88,3146.51,3156.04,3125.24,1.82B,-0.36%
"Apr 08, 2021",3143.26,3137.25,3145.81,3122.09,1.36B,0.19%
